ID,ALIAS - BUSINESS,ASSOCIATES,CLASSIFIED LEVEL,EVIDENCE,INFLUENCES,LOCALITIES,NAKAMOTO INDEX,SCREEN COLOR,TEXT COLOR,Name,Description,Image
14,The Scout - 魔法の言葉,Mt. Mox,LEVEL 2,"Like cash, you don't keep your entire net worth in your pocket, just wal...",Patterns of Integrity: Separation of Duties (Szabo 2004),"Waterloo, CAN [Proxy]",39,Black,White,CYPHERPUNK FILES #14,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/14
15,M - 木々,Ms. Crypto,LEVEL 2,"Unfortunately, proof of work is the only solution I've found to make p2p...",Why I Wrote PGP (Zimmermann 1991),"Paris, FRA [Relay]",33,Black,White,CYPHERPUNK FILES #15,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/15
16,The Carrier - フロッピーディスク,Mr. Right,LEVEL 2,The main thing my system adds is to also use proof-of-work to support a ...,Steganography No Solution (Finney 1993),"London, GBR [VPN]",40,Black,White,CYPHERPUNK FILES #16,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/16
17,Mojo Man - ファイル共有,Mr. Anderson,LEVEL 2,I've developed a new open source P2P e-cash system called Bitcoin.,The Mystery of Banking (Rothbard 1983),"Ithaca, USA [I2P]",64,Black,White,CYPHERPUNK FILES #17,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/17
18,Q - タイムスタンプ,Next of Kin,LEVEL 4,Maybe you're the first person to ever run it on Vista :),Scarce Objects (Szabo 2004),"Nakano, JPN [I2P]",46,Black,White,CYPHERPUNK FILES #18,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/18
19,Liberty Bell - ファイアウォール,Charlie Bravo,LEVEL 1,Messages should not be recorded in the block chain.,Micropayments and Mental Transaction Costs (Szabo 1999),"Helsinki, FIN [Tor]",44,Black,White,CYPHERPUNK FILES #19,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/19
20,Young Gun - 輸出規制,Jaws,LEVEL 2,"Unfortunately, proof of work is the only solution I've found to make p2p...",The Machinery of Freedom (Friedman 1989),"Berkeley, USA [Tor]",33,Black,White,CYPHERPUNK FILES #20,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/20
21,Captain - シルク,The Ram,LEVEL 2,"If you think about it, just because it's implemented in hardware doesn't...",The Geodesic Market (Hettinga 1998),"Arlington, USA [I2P]",48,Black,White,CYPHERPUNK FILES #21,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/21
22,Hellraiser - 鍵交換,The Brother,LEVEL 3,"If you don't believe me or don't get it, I don't have time to try to con...",Lucre: Anonymous Electronic Tokens v1.8 (Laurie 2008),"Haifa, ISR [Relay]",44,Black,White,CYPHERPUNK FILES #22,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/22
23,The Machine - パラジウム,The Belgian,LEVEL 3,"Nodes can leave and rejoin the network at will, accepting the proof-of-w...","Capability-based Financial Instruments (Morningstar, Frantz, and Miller 2000)","Van Nuys, USA [Proxy]",40,Black,White,CYPHERPUNK FILES #23,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/23
24,Mountain Man - ロバ,The Gardener,LEVEL 3,"I hate to blame the compiler, and I've never had a GCC compiler bug befo...",Smart Contracts (Szabo 1994),"Fort Meade, USA [Relay]",42,Black,White,CYPHERPUNK FILES #24,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/24
25,Sasquatch - 匿名転送,The Kiwi,LEVEL 3,"Until now, no scarce commodity that can be traded over a communications ...",Why Remailers I (Finney 1992),"Washington D.C., USA [Tor]",71,Black,White,CYPHERPUNK FILES #25,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/25
26,The Acrobat - 被害者保護,Molten Lava,LEVEL 2,"Most programs are a bunch of memory access, comparisons and branching, t...",Principles of Economics (Menger 1871),"Sliema, MLT [VPN]",35,Black,White,CYPHERPUNK FILES #26,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/26
27,The Parakeet - データ避難所,The Brother,LEVEL 3,The network timestamps transactions by hashing them into an ongoing chai...,The Machinery of Freedom (Friedman 1989),"Langley, USA [Tor]",25,Black,White,CYPHERPUNK FILES #27,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/27
28,The Gripper - 万人のアクセス,Long One,LEVEL 2,"If you're so paranoid that you're getting hysterical over this, then sur...",Human Action: A Treatise on Economics (Mises 1949),"Cambridge, USA [Tor]",35,Black,White,CYPHERPUNK FILES #28,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/28
29,Goldszmith - スマートコントラクト,The Caller,LEVEL 1,The steady addition of a constant of amount of new coins is analogous to...,"The Byzantine Generals Problem (Lamport, Shostak, and Pease 1982)","Haasrode, BEL [Tor]",64,Black,White,CYPHERPUNK FILES #29,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/29
30,Mr. X - 電気自動車,The Godfather,LEVEL 2,I'm sure that in 20 years there will either be very large transaction vo...,From Crossbows To Cryptography: Techno-Thwarting The State (Hammill 1987),"San Francisco, USA [Relay]",33,Black,White,CYPHERPUNK FILES #30,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/30
31,The Saint - ハンドブック,Jaws,LEVEL 4,The proof-of-work chain is itself self-evident proof that it came from t...,"Capability-based Financial Instruments (Morningstar, Frantz, and Miller 2000)","Fort Meade, USA [Relay]",50,Black,White,CYPHERPUNK FILES #31,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/31
32,Q - タイムスタンプ,Bluebird,LEVEL 1,It's good to start low and only have the price go up.,An Austrian Perspective on the History of Economic Thought (Rothbard 1995),"Helsinki, FIN [Tor]",47,Black,White,CYPHERPUNK FILES #32,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/32
33,Crystal - 学生,The Hitman,LEVEL 5,We need to be vigilant and nip in the bud any misconception that the con...,Digital Cash & Privacy (Finney 1993),"Austin, USA [Proxy]",51,Black,Green,CYPHERPUNK FILES #33,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/33
34,Lucky - データヘイブン,Godspeed,LEVEL 1,"If there's going to be a message system, it should be a separate system ...",Detecting Double Spending (Finney 1993),"Cambridge, USA [Tor]",28,Black,White,CYPHERPUNK FILES #34,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/34
35,The Finn - フォーラムビルダー,The Swan,LEVEL 3,It doesn't care because there's no way to lie to it. Either you tell it ...,State and Terrorist Conspiracies & Conspiracy as Governance (Assange 2006),"Sliema, MLT [VPN]",64,Black,White,CYPHERPUNK FILES #35,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/35
36,Letter S - 情報公開の自由,Goldfinger,LEVEL 2,"I don't know Xunie, but he hasn't posted for months and he was a goofball",Hermeneutics: An Introduction to the Interpretation of Tradition (Szabo 1996),"Leiden, NLD [Proxy]",32,Black,White,CYPHERPUNK FILES #36,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/36
37,The Scribe - 暗号郵便リスト,The Earner,LEVEL 4,"They're talking about the old Chaumian central mint stuff, but maybe onl...",Micropayments and Mental Transaction Costs (Szabo 1999),"Arlington, USA [I2P]",59,Black,White,CYPHERPUNK FILES #37,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/37
38,Thommy Boy - 安全,Max Power,LEVEL 2,It would be sweet if there was some way to horn in on a market like that...,The Art of Unix Programming (Raymond 2003),"East Patchogue, USA [Proxy]",34,Black,White,CYPHERPUNK FILES #38,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/38
39,Letter S - 情報公開の自由,The Villain,LEVEL 3,I came to agree with Gavin about whitelisting when I realized how quickl...,Delegation and Agreement Based Certification Policy (Szabo 1997),"Waterloo, CAN [Proxy]",43,Black,White,CYPHERPUNK FILES #39,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/39
40,ATAT - 暗い,V.I.P.,LEVEL 4,"As an example, say some unpopular military attack has to be ordered, but...",Lucre: Anonymous Electronic Tokens v1.8 (Laurie 2008),"Fort Meade, USA [Relay]",62,Black,White,CYPHERPUNK FILES #40,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/40
41,The Ram - 豪雨,The Tailor,LEVEL 2,"They're talking about the old Chaumian central mint stuff, but maybe onl...","The Byzantine Generals Problem (Lamport, Shostak, and Pease 1982)","Sliema, MLT [VPN]",74,Black,White,CYPHERPUNK FILES #41,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/41
42,Thommy Boy - 安全,The Earner,LEVEL 1,"I was also surprised how many issues they argued, and more surprised tha...",Smart Contracts: Building Blocks for Digital Markets (Szabo 1996),"Tokyo, JPN [VPN]",30,Black,White,CYPHERPUNK FILES #42,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/42
43,Space Shuttle - 証明書販売,M,LEVEL 2,The main thing holding online currencies back is the lack of an easy way...,Libertaria in Cyberspace (May 1992),"Bletchley Park, GBR [VPN]",27,Black,White,CYPHERPUNK FILES #43,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/43
44,Olive Juice - エンジニアリングマニフェスト,Grill Master,LEVEL 2,I am not Dorian Nakamoto.,Why Remailers I (Finney 1992),"Exeter, GBR [Tor]",26,Black,White,CYPHERPUNK FILES #44,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/44
45,Mt. Mox - 消える会話,The Villain,LEVEL 2,The main thing my system adds is to also use proof-of-work to support a ...,Recovering Privity (Szabo 1997),"Sliema, MLT [VPN]",25,Black,White,CYPHERPUNK FILES #45,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/45
46,Hellraiser - 鍵交換,Youngster,LEVEL 4,"Imagine if gold turned to lead when stolen.  If the thief gives it back,...",Introduction to Algorithmic Information Theory (Szabo 1996),"Santa Cruz, USA [VPN]",35,Black,White,CYPHERPUNK FILES #46,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/46
47,The Boar - 匿名資格情報,Haste Maker,LEVEL 1,"GPU miners, please upgrade as soon as possible to shut down the free tra...","Man, Economy, and State, with Power and Market (Rothbard 1962)","Fort Meade, USA [Relay]",55,Black,White,CYPHERPUNK FILES #47,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/47
48,Mochi - 数学,The Carrier,LEVEL 1,I completely put off disk full handling until a later version. Probably ...,Principles of Economics (Menger 1871),"Berlin, DEU [Proxy]",49,Black,White,CYPHERPUNK FILES #48,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/48
49,Max Power - 機密取引,Haste Maker,LEVEL 1,Maybe instead make it about the open source project and give more credit...,The Case for Privacy (Friedman 2005),"Cheltenham, GBR [Proxy]",68,Black,White,CYPHERPUNK FILES #49,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/49
50,The Saint - ハンドブック,M,LEVEL 4,I was very interested to read your b-money page.,Bit Gold (Szabo 2005),"Sandy Ground, AIA [Relay]",59,Black,White,CYPHERPUNK FILES #50,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/50
51,The Scout - 魔法の言葉,The Brother,LEVEL 4,The proof-of-work chain is itself self-evident proof that it came from t...,PGP Web of Trust Misconceptions (Finney 1994),"Berkeley, USA [Tor]",50,Black,White,CYPHERPUNK FILES #51,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/51
52,Tall Man - 無料ソフトウェア,Liberty Bell,LEVEL 2,"Technically, yes, the genesis block is a block.  It's a hardcoded block ...",Denationalisation of Money: The Argument Refined (Hayek 1978),"Toronto, CAN [Proxy]",52,Black,White,CYPHERPUNK FILES #52,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/52
53,Horoscope - かなり良いプライバシー,The Kazoo,LEVEL 1,The main thing holding online currencies back is the lack of an easy way...,On the Origins of Money (Menger 1892),"Sandy Ground, AIA [Relay]",39,Black,White,CYPHERPUNK FILES #53,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/53
54,The Hawk - 零知識証明,The Parakeet,LEVEL 3,Adam Back (hashcash.org) noticed the similarities and pointed me to your...,Protocols for Public Key Cryptosystems (Merkle 1978),"Dublin, IRL [VPN]",29,Black,White,CYPHERPUNK FILES #54,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/54
55,The Brother - 豪雨,The Navigator,LEVEL 1,"My writing is not that great, I'm a much better coder.",The Cyphernomicon (May 1994),"Boulder, USA [Relay]",54,Black,White,CYPHERPUNK FILES #55,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/55
56,The Boar - 匿名資格情報,Yorkie,LEVEL 4,Once a transaction is hashed into a link that's a few links back in the ...,The Theory of Money and Credit (Mises 1912),"New York, USA [Relay]",39,Black,White,CYPHERPUNK FILES #56,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/56
57,The Ram - 豪雨,Mr. Toad,LEVEL 1,"It could get started in a narrow niche like reward points, donation toke...",From Crossbows To Cryptography: Techno-Thwarting The State (Hammill 1987),"Chicago, USA [VPN]",75,Black,White,CYPHERPUNK FILES #57,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/57
58,Yorkie - 表現の自由,The Finn,LEVEL 2,"With e-currency based on cryptographic proof, without the need to trust ...",Crypto Glossary (Hughes and May 1992),"Palm Beach Gardens, USA [I2P]",50,Black,White,CYPHERPUNK FILES #58,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/58
59,The Ox - 暗号特許,Mr. Z,LEVEL 2,I am not a lawyer and I can't possibly answer that.,How to Share a Secret (Shamir 1979),"Berkeley, USA [Tor]",42,Black,White,CYPHERPUNK FILES #59,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/59
60,Mojo Man - ファイル共有,Apache Pilot,LEVEL 1,The possibility to be anonymous...relies on you not revealing any identi...,Trusted Third Parties are Security Holes (Szabo 2001),"Redmond, USA [I2P]",68,Black,White,CYPHERPUNK FILES #60,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/60
61,The Saint - ハンドブック,The Scout,LEVEL 1,The forum sure is taking off.  I didn't expect to have so much activity ...,Multinational Small Business (Szabo 1993),"Princeton, USA [I2P]",50,Black,White,CYPHERPUNK FILES #61,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/61
62,Stic Man - りんご,The Heater,LEVEL 1,I don't know what you're talking about accepting easier difficulties.,A Declaration of the Independence of Cyberspace (Barlow 1996),"Cheltenham, GBR [Proxy]",46,Black,White,CYPHERPUNK FILES #62,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/62
63,Mr. Red - 陰謀,The Cook,LEVEL 1,The main idea of the system is the generation of a chain of hash based p...,The Cathedral and the Bazaar (Raymond 2000),"Palo Alto, USA [Proxy]",63,Black,White,CYPHERPUNK FILES #63,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/63
64,The Boar - 匿名資格情報,Patty,LEVEL 2,"I think you would find it interesting, since it finds a new use for hash...",Delegation and Agreement Based Certification Policy (Szabo 1997),"Leuven, BEL [Relay]",29,Black,White,CYPHERPUNK FILES #64,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/64
65,Patty - 生物学,Q,LEVEL 3,"Until now, no scarce commodity that can be traded over a communications ...",The God Protocols (Szabo 1999),"San Francisco, USA [Relay]",53,Black,White,CYPHERPUNK FILES #65,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/65
66,Mr. Toad - ブートストラップ,Godspeed,LEVEL 4,Sorry to be a wet blanket.  Writing a description for this thing for gen...,How to Share a Secret (Shamir 1979),"Haasrode, BEL [Tor]",52,Black,White,CYPHERPUNK FILES #66,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/66
67,The Finn - フォーラムビルダー,The Repeater,LEVEL 2,"I hate to blame the compiler, and I've never had a GCC compiler bug befo...",A Measure of Sacrifice (Szabo 2002),"Fort Meade, USA [Relay]",73,Black,White,CYPHERPUNK FILES #67,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/67
68,Thommy Boy - 安全,The Scribe,LEVEL 2,I'm losing my mind there are so many things that need to be done.,Confidential Auditing (Szabo 1998),"Toronto, CAN [Proxy]",51,Black,White,CYPHERPUNK FILES #68,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/68
69,Applesauce - 玉葱,Stic Man,LEVEL 1,I've developed a new open source P2P e-cash system called Bitcoin.,Introduction to Algorithmic Information Theory (Szabo 1996),"Chicago, USA [VPN]",28,Black,White,CYPHERPUNK FILES #69,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/69
70,The Parakeet - データ避難所,Crystal,LEVEL 3,I'll have to work on figuring out what's getting hung up. I may just hav...,Contracts with Bearer (Szabo 1999),"Redmond, USA [I2P]",35,Black,White,CYPHERPUNK FILES #70,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/70
71,Snowman - 書類,The Chef,LEVEL 4,It doesn't care because there's no way to lie to it. Either you tell it ...,Secure Names for Bit-Strings (Stornetta and Haber 1997),"Osaka, JPN [I2P]",57,Black,White,CYPHERPUNK FILES #71,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/71
72,Sakou - 九州,The Way,LEVEL 3,unconfirmed transactions are very much second class citizens.,RPOW - Reusable Proofs of Work (Finney 2004),"Stanford, USA [Tor]",61,Black,White,CYPHERPUNK FILES #72,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/72
73,The Haberdasher - 連鎖証明,The Scribe,LEVEL 1,"I know this sounds really retarded, but I still haven't been able to get...","Man, Economy, and State, with Power and Market (Rothbard 1962)","Cheltenham, GBR [Proxy]",44,Black,White,CYPHERPUNK FILES #73,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/73
74,The Kiwi - 監視研究,The Caller,LEVEL 4,It is decentralised.  After you have connected to the network the first ...,Digital Cash & Privacy (Finney 1993),"Temple City, USA [Tor]",56,Black,White,CYPHERPUNK FILES #74,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/74
75,The Brother - 豪雨,Captain,LEVEL 4,the verification is reliable as long as honest nodes control the network...,The Geodesic Market (Hettinga 1998),"Princeton, USA [I2P]",31,Black,White,CYPHERPUNK FILES #75,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/75
